transf_loc,sku,primary_voltage,size_kva,transformer_age,customers,percent_lol,consecutive_months_overloaded,loss_of_life,max_overload,life_expectancy_at_conditions,date_max_overload,IEEE C57.91 Temp/Loading Flags
TE 862,90601,27.6kV,50,12,9,1.25697E+13,1,4.39808E+14,8577,7.96E-14,2022-04-12 0:00,"Top Oil Temp,Hotspot Temp,>300% Overloaded"
TE 8062,90601,27.6kV,50,13,12,40811844910,1,1.42799E+12,1001.86,2.45E-11,2022-04-05 0:00,"Top Oil Temp,Hotspot Temp,>300% Overloaded"
TE 5444,90472,27.6kV,300,29,144,10027502832,1,3.50857E+11,6551.28,9.97E-11,2022-03-11 0:00,"Top Oil Temp,Hotspot Temp,>300% Overloaded"
T 8070,91363,27.6kV,150,32,1,771865774.3,1,27007199941,3147.96,1.30E-09,2021-12-05 0:00,"Top Oil Temp,Hotspot Temp,>300% Overloaded"
T 4946,91075,4.16kV,37,53,1,782416.6944,2,27376371.39,222.481,1.27459E-06,2022-02-17 0:00,"Top Oil Temp,Hotspot Temp,>300% Overloaded"
T 951,91085,4.16kV,75,20,22,28500.75213,1,997227.1563,389.52,3.50867E-05,2021-12-11 0:00,"Top Oil Temp,Hotspot Temp,>300% Overloaded"
TE 3376,90450,27.6kV,112,42,2,3376.935538,1,118157.2966,404.6448,0.000296127,2021-11-09 0:00,"Hotspot Temp,>300% Overloaded"
T 5787,91310,4.16kV,45,53,1,1865.951482,5,65288.71527,151.3215,0.000534451,2021-12-11 0:00,"Top Oil Temp,Hotspot Temp,>300% Overloaded"
TE 3010,90601,27.6kV,50,12,14,146.5534355,1,5127.831894,353.01,0.006823453,2022-03-06 0:00,"Hotspot Temp,>300% Overloaded"
T 10270,91350,27.6kV,25,21,4,66.15528471,4,2314.740543,68.75,0.015115956,2022-04-14 0:00,"Top Oil Temp,Hotspot Temp,"
T 11953,91345,27.6kV,30,2,1,16.26592895,12,569.1367724,69.3,0.06130977,2021-08-21 0:00,"Top Oil Temp,Hotspot Temp,"
TE 1286,90604,27.6kV,75,11,1,3.765465611,2,131.7517709,228.87,0.262661,2022-03-13 0:00,"Top Oil Temp,Hotspot Temp,>300% Overloaded"
T 9427,91360,27.6kV,50,28,42,0.262124847,3,9.171618172,103,3.8149748,2021-08-29 0:00,"Top Oil Temp,"
T 9466,91360,27.6kV,50,28,46,0.160698025,3,5.622744065,96.5,6.222852,2021-08-24 0:00,"Top Oil Temp,"
T 7233,91536,8.32kV,25,3,4,0.158492973,10,5.54559038,42.46,6.3094287,2022-01-29 0:00,"Top Oil Temp,"
T 8405,91365,27.6kV,30,10,4,0.128652583,5,4.50148996,51.3,7.772872,2021-05-21 0:00,"Top Oil Temp,"
T 9924,91350,27.6kV,25,26,3,0.071685908,3,2.508254304,49.2,13.94974,2022-03-29 0:00,"Top Oil Temp,"
TE 9003,90462,27.6kV,150,5,10,0.053183299,3,1.860857203,258,18.802895,2021-07-06 0:00,"Top Oil Temp,"
T 9750,91400,27.6kV,75,25,1,0.038526802,1,1.348033676,360,25.955948,2022-04-29 0:00,"Hotspot Temp,>300% Overloaded"
T 10627,91345,27.6kV,30,18,2,0.037525364,1,1.312993836,97.2,26.648638,2021-07-21 0:00,"Top Oil Temp,Hotspot Temp,>300% Overloaded"
TE 2094,90425,27.6kV,150,49,1,0.03593872,3,1.257477949,238.5,27.748909,2021-08-26 0:00,"Top Oil Temp,"
TE 9067,90601,27.6kV,50,5,18,0.026544619,2,0.928783037,92.37,35,2021-12-23 0:00,"Top Oil Temp,"
TE 6809,90601,27.6kV,50,20,16,0.023127348,3,0.809214415,90.5,35,2021-06-06 0:00,"Top Oil Temp,"
T 8753,91365,27.6kV,75,11,75,0.022256557,3,0.778745862,126,35,2021-07-06 0:00,"Top Oil Temp,"
T 10435,91350,27.6kV,25,21,15,0.019480221,3,0.681603269,47,35,2021-08-22 0:00,"Top Oil Temp,"
T 10092,91415,27.6kV,75,31,1,0.018169992,1,0.635758992,163.71,35,2021-11-20 0:00,"Top Oil Temp,"
T 2308,91075,4.16kV,37,61,20,0.016816079,3,0.588386236,68.82,35,2021-08-29 0:00,"Top Oil Temp,"
T 8209,91420,27.6kV,300,46,1,0.016597935,1,0.580753489,480,35,2021-09-09 0:00,"Top Oil Temp,"
T 1712,91070,4.16kV,25,61,16,0.015964556,3,0.558591899,44.75,35,2021-06-07 0:00,"Top Oil Temp,"
TE 8245,90601,27.6kV,50,10,15,0.015363747,3,0.537569863,89.5,35,2021-07-06 0:00,"Top Oil Temp,"
T 8103,91360,27.6kV,50,41,39,0.014927296,3,0.522298671,83,35,2021-08-29 0:00,"Top Oil Temp,"
